Date,Open,High,Low,Price,Adj Close,Volume
"Mar 16, 2025","84,354.53","84,408.88","83,754.81","83,781.45","83,781.45","11,736,924,160"
"Mar 15, 2025","83,968.41","84,672.67","83,639.59","84,343.11","84,343.11","13,650,491,277"
"Mar 14, 2025","81,066.99","85,263.29","80,797.56","83,969.10","83,969.10","29,588,112,414"
"Mar 13, 2025","83,724.92","84,301.70","79,931.85","81,066.70","81,066.70","31,412,940,153"
"Mar 12, 2025","82,857.38","84,358.58","80,635.25","83,722.36","83,722.36","40,353,484,454"
"Mar 11, 2025","78,523.88","83,577.76","76,624.25","82,862.21","82,862.21","54,702,837,196"
"Mar 10, 2025","80,597.15","83,955.93","77,420.59","78,532.00","78,532.00","54,061,099,422"
"Mar 9, 2025","86,154.30","86,471.13","80,052.48","80,601.04","80,601.04","30,899,345,977"
"Mar 8, 2025","86,742.66","86,847.27","85,247.48","86,154.59","86,154.59","18,206,118,081"
"Mar 7, 2025","89,963.28","91,191.05","84,717.68","86,742.67","86,742.67","65,945,677,657"
"Mar 6, 2025","90,622.36","92,804.94","87,852.14","89,961.73","89,961.73","47,749,810,486"
"Mar 5, 2025","87,222.95","90,998.24","86,379.77","90,623.56","90,623.56","50,498,988,027"
"Mar 4, 2025","86,064.07","88,911.27","81,529.24","87,222.20","87,222.20","68,095,241,474"
"Mar 3, 2025","94,248.42","94,429.75","85,081.30","86,065.67","86,065.67","70,072,228,536"
"Mar 2, 2025","86,036.26","95,043.44","85,040.21","94,248.35","94,248.35","58,398,341,092"
"Mar 1, 2025","84,373.87","86,522.30","83,794.23","86,031.91","86,031.91","29,190,628,396"
"Feb 28, 2025","84,705.63","85,036.32","78,248.91","84,373.01","84,373.01","83,610,570,576"
"Feb 27, 2025","84,076.86","87,000.78","83,144.96","84,704.23","84,704.23","52,659,591,954"
"Feb 26, 2025","88,638.89","89,286.25","82,131.90","84,347.02","84,347.02","64,597,492,134"
"Feb 25, 2025","91,437.12","92,511.08","86,008.23","88,736.17","88,736.17","92,139,104,128"
"Feb 24, 2025","96,277.96","96,503.45","91,371.74","91,418.17","91,418.17","44,046,480,529"
"Feb 23, 2025","96,577.80","96,671.88","95,270.45","96,273.92","96,273.92","16,999,478,976"
"Feb 22, 2025","96,134.20","96,950.16","95,765.34","96,577.76","96,577.76","18,353,824,477"
"Feb 21, 2025","98,340.67","99,497.97","94,852.96","96,125.55","96,125.55","49,608,706,470"
"Feb 20, 2025","96,632.68","98,767.20","96,442.67","98,333.94","98,333.94","31,668,022,771"
"Feb 19, 2025","95,532.53","96,855.59","95,011.97","96,635.61","96,635.61","28,990,872,862"
"Feb 18, 2025","95,773.81","96,695.38","93,388.84","95,539.55","95,539.55","37,325,720,482"
"Feb 17, 2025","96,179.01","97,032.23","95,243.55","95,773.38","95,773.38","27,336,550,690"
"Feb 16, 2025","97,580.49","97,725.59","96,060.98","96,175.03","96,175.03","16,536,755,396"
"Feb 15, 2025","97,508.38","97,975.04","97,240.20","97,580.35","97,580.35","17,047,266,288"
"Feb 14, 2025","96,623.37","98,819.47","96,342.80","97,508.97","97,508.97","32,697,987,277"
"Feb 13, 2025","97,888.75","98,111.09","95,269.71","96,623.87","96,623.87","37,147,280,860"
"Feb 12, 2025","95,745.70","98,151.02","94,101.20","97,885.86","97,885.86","49,340,445,530"
"Feb 11, 2025","97,438.13","98,492.90","94,875.04","95,747.43","95,747.43","37,488,783,272"
"Feb 10, 2025","96,499.46","98,333.22","95,320.84","97,437.55","97,437.55","40,078,962,391"
"Feb 9, 2025","96,481.31","97,325.28","94,745.26","96,500.09","96,500.09","27,732,901,800"
"Feb 8, 2025","96,533.26","96,877.80","95,702.49","96,482.45","96,482.45","22,447,526,395"
"Feb 7, 2025","96,581.32","100,154.14","95,653.88","96,529.09","96,529.09","55,741,290,456"
"Feb 6, 2025","96,610.64","99,168.61","95,707.35","96,593.30","96,593.30","45,302,471,947"
"Feb 5, 2025","97,878.01","99,113.21","96,174.83","96,615.45","96,615.45","49,125,911,241"
"Feb 4, 2025","101,398.72","101,745.62","96,208.11","97,871.82","97,871.82","73,002,130,211"
"Feb 3, 2025","97,681.10","102,514.17","91,242.89","101,405.42","101,405.42","115,400,897,748"
"Feb 2, 2025","100,661.54","101,430.66","96,216.08","97,688.98","97,688.98","63,091,816,853"
"Feb 1, 2025","102,402.80","102,755.73","100,297.71","100,655.91","100,655.91","27,757,944,848"
"Jan 31, 2025","104,737.56","106,026.35","101,543.88","102,405.02","102,405.02","45,732,764,360"
"Jan 30, 2025","103,709.34","106,418.77","103,321.65","104,735.30","104,735.30","41,915,744,521"
"Jan 29, 2025","101,317.52","104,750.80","101,283.82","103,703.21","103,703.21","47,432,049,818"
